w;p;fpph;fppd
59788;989553422525;0x1.cccbf5e17a0d3p-1;0.899994
59736;988692868013;0x1.cc655fd75a80bp-1;0.899211
59682;987801792139;0x1.cbfb265d1796dp-1;0.8984
59644;987171340754;0x1.cbaffe83a4335p-1;0.897827
59636;987037375908;0x1.cba0063b49b44p-1;0.897705
59632;986969866865;0x1.cb97fa04e3d8dp-1;0.897644
59582;986146875384;0x1.cb35de4ff0641p-1;0.896895
59476;984388267523;0x1.ca6439dc07dbbp-1;0.895296
59464;984190319218;0x1.ca4ca0f4e5743p-1;0.895116
59394;983034858494;0x1.c9c2e317fd21ep-1;0.894065
59368;982600418406;0x1.c98f1908cdd8fp-1;0.89367
59366;982570227242;0x1.c98b7fac555cp-1;0.893642
59360;982466965852;0x1.c97f3062b983ep-1;0.893549
59344;982203850683;0x1.c95fd2bf7667ep-1;0.893309
59342;982174901608;0x1.c95c5f4ad091p-1;0.893283
59260;980815369291;0x1.c8ba4da8975b7p-1;0.892046
59256;980747331542;0x1.c8b2314fadb25p-1;0.891985
59224;980218214928;0x1.c8731df42095ap-1;0.891503
59122;978532957568;0x1.c7aa37fb01c8p-1;0.889971
59120;978496421025;0x1.c7a5dcf9425cbp-1;0.889937
59112;978363432902;0x1.c796027f8c8cbp-1;0.889816
59104;978231162479;0x1.c7863decdfdabp-1;0.889696
59028;976974791133;0x1.c6f07883bb022p-1;0.888553
58984;976244759733;0x1.c69971b96b81ep-1;0.887889
58976;976113061593;0x1.c689be9db2d15p-1;0.88777
58960;975848440102;0x1.c66a33024d373p-1;0.887529
58954;975753309802;0x1.c65edbdcd52d1p-1;0.887442
58898;974825557433;0x1.c5f0431b7223ap-1;0.886599
58824;973596697106;0x1.c55dc54425bf8p-1;0.885481
58792;973068610041;0x1.c51ed153f3a6ep-1;0.885001
58740;972207828707;0x1.c4b8345dc7746p-1;0.884218
58672;971080498438;0x1.c431d0fa0d75fp-1;0.883193
58656;970816439794;0x1.c412568be57c2p-1;0.882952
58642;970588322100;0x1.c3f724f2689c9p-1;0.882745
58578;969528625273;0x1.c378d190f380ep-1;0.881781
58452;967441277307;0x1.c27ffcc2f62a4p-1;0.879883
58416;966844704761;0x1.c238decff26e3p-1;0.87934
58336;965520179011;0x1.c19af97e86de1p-1;0.878135
58320;965254333959;0x1.c17b488c0e598p-1;0.877894
58312;965122937414;0x1.c16b9ea48d5c8p-1;0.877774
58308;965058416654;0x1.c163eda01c094p-1;0.877716
58258;964233009230;0x1.c10188309d319p-1;0.876965
58248;964064709312;0x1.c0ed7815806c7p-1;0.876812
58240;963930472808;0x1.c0dd7782d1f99p-1;0.87669
58206;963371113913;0x1.c09ac93b72b21p-1;0.876181
58184;963005172968;0x1.c06f2999d072ap-1;0.875848
58144;962342686178;0x1.c020301bc4748p-1;0.875246
58120;961944927575;0x1.bff0c57aafad3p-1;0.874884
58060;960954399752;0x1.bf7ab0f810151p-1;0.873983
58056;960886452610;0x1.bf72976305c75p-1;0.873921
57992;959826376508;0x1.bef4386e79199p-1;0.872957
57968;959430873376;0x1.bec512a241c97p-1;0.872597
57892;958172363930;0x1.be2f0bf9357fcp-1;0.871453
57872;957840653746;0x1.be0780fb65705p-1;0.871151
57864;957708418315;0x1.bdf7bd7a17a1p-1;0.871031
57770;956155277470;0x1.bd3e97613c07ep-1;0.869618
57734;955559473694;0x1.bcf790e43dcfp-1;0.869076
57672;954530892512;0x1.bc7cf315c145dp-1;0.868141
57608;953470680779;0x1.bbfe8ffd97d36p-1;0.867177
57520;952014123182;0x1.bb50ed615c2ffp-1;0.865852
57476;951287982736;0x1.bafa5d5521317p-1;0.865191
57432;950558226262;0x1.baa35eeeadccep-1;0.864528
57392;949895442620;0x1.ba545c6178706p-1;0.863925
57372;949565715238;0x1.ba2d0de64c03p-1;0.863625
57352;949234294622;0x1.ba058bbebcc7bp-1;0.863324
57328;948836669051;0x1.b9d6252cf6529p-1;0.862962
57288;948174800595;0x1.b9873e8da7c9cp-1;0.86236
57246;947482216069;0x1.b934ae8d0b2c2p-1;0.86173
57244;947448127812;0x1.b9309e42892c1p-1;0.861699
57224;947115696796;0x1.b908fd4538152p-1;0.861397
57182;946424675338;0x1.b8b69cf815cd9p-1;0.860768
