w;p;fpph;fppd
59788;989648887986;0x1.ccd7574164381p-1;0.90008
59736;988779264298;0x1.cc6fac7254e4p-1;0.89929
59682;987882252524;0x1.cc04bdd1d815bp-1;0.898474
59644;987256974474;0x1.cbba33d915e6ep-1;0.897905
59636;987111520568;0x1.cba8dcf271732p-1;0.897773
59632;987058136061;0x1.cba27fc7fb8d8p-1;0.897724
59582;986272441632;0x1.cb44d64a40594p-1;0.89701
59476;984482386886;0x1.ca6f72278c3fbp-1;0.895382
59464;984269160443;0x1.ca5606fff7368p-1;0.895188
59394;983152340917;0x1.c9d0e45f6a875p-1;0.894172
59368;982709029617;0x1.c99c0b95e32eap-1;0.893769
59366;982695177788;0x1.c99a64dc78c4fp-1;0.893756
59360;982557964041;0x1.c98a096e12ec1p-1;0.893631
59344;982310065357;0x1.c96c7c299b8dap-1;0.893406
59342;982277128338;0x1.c9688f0125e24p-1;0.893376
59260;980920126148;0x1.c8c6ca9589164p-1;0.892142
59256;980830515373;0x1.c8bc1be15b921p-1;0.89206
59224;980339158102;0x1.c88188d8acaf1p-1;0.891613
59122;978620236711;0x1.c7b49f874ee7bp-1;0.89005
59120;978611479585;0x1.c7b394484327p-1;0.890042
59112;978457115758;0x1.c7a12d78dc335p-1;0.889902
59104;978316067459;0x1.c7905d05070ep-1;0.889773
59028;977057976885;0x1.c6fa63246a841p-1;0.888629
58984;976364986779;0x1.c6a7c6c3375e4p-1;0.887999
58976;976178638010;0x1.c6918fd974088p-1;0.887829
58960;975960983471;0x1.c6779d8f5e846p-1;0.887631
58954;975876361322;0x1.c66d8718d5686p-1;0.887554
58898;974922191246;0x1.c5fbc8231c9a9p-1;0.886687
58824;973710482082;0x1.c56b55b545bbep-1;0.885585
58792;973165593688;0x1.c52a6108b164ep-1;0.885089
58740;972297517209;0x1.c4c2e571326dcp-1;0.884299
58672;971196317047;0x1.c43f9f7aee3f3p-1;0.883298
58656;970896860756;0x1.c41beccca8d79p-1;0.883026
58642;970670571764;0x1.c400f301e9e14p-1;0.88282
58578;969608769281;0x1.c3825f5e03d2dp-1;0.881854
58452;967544759604;0x1.c28c52ca6828ep-1;0.879977
58416;966947326046;0x1.c2451a90bcf26p-1;0.879433
58336;965611666559;0x1.c1a5e178febbbp-1;0.878219
58320;965367797036;0x1.c188cf2a5977ep-1;0.877997
58312;965215867726;0x1.c176b2a69dfcp-1;0.877859
58308;965147565230;0x1.c16e8e395db17p-1;0.877797
58258;964321621538;0x1.c10c186c451e2p-1;0.877045
58248;964181456754;0x1.c0fb62eee552p-1;0.876918
58240;963996776423;0x1.c0e55eefcf772p-1;0.87675
58206;963480039991;0x1.c0a7c5646ffe3p-1;0.87628
58184;963108017570;0x1.c07b6c2b45053p-1;0.875942
58144;962439247525;0x1.c02bb2ed4bee5p-1;0.875333
58120;962043448693;0x1.bffc841aeb2ecp-1;0.874973
58060;961060228042;0x1.bf874e979455fp-1;0.874079
58056;960994708355;0x1.bf7f7f17076bcp-1;0.87402
57992;959923720829;0x1.beffd324fb45dp-1;0.873046
57968;959550050613;0x1.bed347a26a584p-1;0.872706
57892;958273968793;0x1.be3b28b5326cbp-1;0.871545
57872;957917397489;0x1.be10a703e26c8p-1;0.871221
57864;957809066604;0x1.be03bd04d89c9p-1;0.871122
57770;956259243088;0x1.bd4afc28a1ff6p-1;0.869713
57734;955674920360;0x1.bd05540b50eb4p-1;0.869181
57672;954637617779;0x1.bc89ac14e68c4p-1;0.868238
57608;953580769108;0x1.bc0baf9ea8fbap-1;0.867277
57520;952124106961;0x1.bb5e09d1a3c9p-1;0.865952
57476;951414313837;0x1.bb096ca6dbda5p-1;0.865306
57432;950648675840;0x1.baae273c00c9ep-1;0.86461
57392;949975073096;0x1.ba5dda829144p-1;0.863997
57372;949672094138;0x1.ba39bc5374949p-1;0.863722
57352;949322785823;0x1.ba1018483e3c4p-1;0.863404
57328;948893513117;0x1.b9dcebeb3b984p-1;0.863014
57288;948251298875;0x1.b9905d1877439p-1;0.86243
57246;947567465936;0x1.b93ed82ba0e82p-1;0.861808
57244;947540547098;0x1.b93ba2ac35bb4p-1;0.861783
57224;947222311258;0x1.b915b2e2b5d25p-1;0.861494
