w;p;fpph;fppd
59788;989590871993;0x1.ccd06cbf73dbcp-1;0.900028
59736;988726563680;0x1.cc696426c091p-1;0.899242
59682;987840159231;0x1.cbffb93bffb43p-1;0.898435
59644;987204362816;0x1.cbb3ee4480377p-1;0.897857
59636;987076858202;0x1.cba4bb22b5874p-1;0.897741
59632;986999683149;0x1.cb9b87f09b022p-1;0.897671
59582;986182718735;0x1.cb3a242a1f15dp-1;0.896928
59476;984420534500;0x1.ca681291c9dbcp-1;0.895325
59464;984227052054;0x1.ca5101f42db25p-1;0.895149
59394;983069953076;0x1.c9c7121868d62p-1;0.894097
59368;982637981343;0x1.c993935d3edd5p-1;0.893704
59366;982611240024;0x1.c9906348b1fp-1;0.89368
59360;982497388756;0x1.c982d0d1a91fp-1;0.893576
59344;982232714808;0x1.c963439c70353p-1;0.893335
59342;982213268959;0x1.c960f22bbe5c9p-1;0.893318
59260;980850449174;0x1.c8be7c362c1fap-1;0.892078
59256;980784320669;0x1.c8b69a213af9fp-1;0.892018
59224;980259688389;0x1.c8780f9f8bffdp-1;0.891541
59122;978570282655;0x1.c7aeab0d3e9a8p-1;0.890004
59120;978526269055;0x1.c7a96bdcff218p-1;0.889964
59112;978391957129;0x1.c79968fd13be8p-1;0.889842
59104;978255144361;0x1.c78919cb52cddp-1;0.889718
59028;977009918927;0x1.c6f4a8879ec44p-1;0.888585
58984;976276442407;0x1.c69d389a4f84ep-1;0.887918
58976;976137832563;0x1.c68cb290e7d78p-1;0.887792
58960;975876945557;0x1.c66d98ed2b11bp-1;0.887555
58954;975781590683;0x1.c6623aed379adp-1;0.887468
58898;974864106316;0x1.c5f4db8699779p-1;0.886634
58824;973629329549;0x1.c561a9211b612p-1;0.885511
58792;973104419623;0x1.c52316264ff9bp-1;0.885033
58740;972247874575;0x1.c4bcfa781e89ap-1;0.884254
58672;971106206926;0x1.c434e1899d949p-1;0.883216
58656;970846263269;0x1.c415e4afca2b4p-1;0.88298
58642;970617988268;0x1.c3faae4959e9fp-1;0.882772
58578;969570901484;0x1.c37ddbbbd98f8p-1;0.88182
58452;967479555422;0x1.c2848ceabcdbdp-1;0.879918
58416;966872926871;0x1.c23c3c152e0dep-1;0.879366
58336;965547820744;0x1.c19e450d90affp-1;0.878161
58320;965276661195;0x1.c17df1eb96505p-1;0.877914
58312;965149416926;0x1.c16ec6bbbc959p-1;0.877798
58308;965085543359;0x1.c16729777e28ep-1;0.87774
58258;964263461644;0x1.c105298619328p-1;0.876993
58248;964089967529;0x1.c0f07ae752106p-1;0.876835
58240;963954879571;0x1.c0e06058a7457p-1;0.876712
58206;963404713482;0x1.c09eca9c1581ap-1;0.876211
58184;963036667592;0x1.c072eabd90505p-1;0.875877
58144;962366959909;0x1.c02314e24b764p-1;0.875268
58120;961976247598;0x1.bff4814a5d4ep-1;0.874912
58060;960993672551;0x1.bf7f5f7aceb84p-1;0.874019
58056;960914020990;0x1.bf75e0b4fd14cp-1;0.873946
57992;959847471344;0x1.bef6bc31e0f4bp-1;0.872976
57968;959454241277;0x1.bec7dbc3fbfb6p-1;0.872619
57892;958210956891;0x1.be33a5bcb671fp-1;0.871488
57872;957874837897;0x1.be0b943313861p-1;0.871182
57864;957740786910;0x1.bdfb9949bda26p-1;0.87106
57770;956193082285;0x1.bd4319175ac94p-1;0.869653
57734;955596693962;0x1.bcfc00c3940dap-1;0.86911
57672;954562055674;0x1.bc80aa1bf5942p-1;0.868169
57608;953501515360;0x1.bc023cfcc075ap-1;0.867205
57520;952040694755;0x1.bb541847c71e9p-1;0.865876
57476;951306859136;0x1.bafc9d6501a04p-1;0.865209
57432;950578398850;0x1.baa5c68d05d94p-1;0.864546
57392;949927282937;0x1.ba582811f2cabp-1;0.863954
57372;949602151522;0x1.ba3165d8c5e93p-1;0.863658
57352;949263404387;0x1.ba09041ac7a67p-1;0.86335
57328;948869403230;0x1.b9da0c24bdd5ep-1;0.862992
57288;948207063985;0x1.b98b172762b86p-1;0.862389
57246;947517116494;0x1.b938d7a09d869p-1;0.861762
57244;947484407696;0x1.b934f16f21606p-1;0.861732
57224;947139059134;0x1.b90bc63b7dca9p-1;0.861418
57182;946465785430;0x1.b8bb838cad904p-1;0.860806
57160;946075243018;0x1.b88cf52414291p-1;0.86045
