w;p;fpph;fppd
59788;991852942570;0x1.cdde15a9d40e6p-1;0.902085
59736;992021693422;0x1.cdf23387dd03fp-1;0.902238
59682;990592385468;0x1.cd47d0837911p-1;0.900939
59644;990627863879;0x1.cd4c0b3a8fa8bp-1;0.900971
59636;988336836835;0x1.cc3aeea1c6f4fp-1;0.898887
59632;989296730132;0x1.ccad5c4029519p-1;0.89976
59582;988761561674;0x1.cc6d903495224p-1;0.899273
59476;987442668495;0x1.cbd056c79e12bp-1;0.898074
59464;985328996825;0x1.cad45ea3b36b3p-1;0.896152
59394;985133366687;0x1.cabd0c7b3e22ap-1;0.895974
59368;984408734987;0x1.ca66aa7a17b1fp-1;0.895315
59366;986520020352;0x1.cb6259cb01838p-1;0.897235
59360;985189029445;0x1.cac3af2c8b1dcp-1;0.896024
59344;985133366687;0x1.cabd0c7b3e22cp-1;0.895974
59342;985980440666;0x1.cb220720b4484p-1;0.896744
59260;983691620420;0x1.ca112de0887eep-1;0.894662
59256;983648036354;0x1.ca0bfbcc04bc7p-1;0.894623
59224;982732424899;0x1.c99ed58d8759ep-1;0.89379
59122;981547056225;0x1.c91186f8c3c52p-1;0.892712
59120;982114837148;0x1.c955364539d91p-1;0.893228
59112;981547056225;0x1.c91186f8c3c52p-1;0.892712
59104;981273770749;0x1.c8f0f2f5faaf3p-1;0.892463
59028;980674875851;0x1.c8a98e2396031p-1;0.891919
58984;978209692116;0x1.c783aeb3a8cabp-1;0.889677
58976;978209692116;0x1.c783aeb3a8cabp-1;0.889677
58960;978289961422;0x1.c78d40539d84p-1;0.88975
58954;977371562067;0x1.c71fc500a6993p-1;0.888914
58898;978129329755;0x1.c77a1a3cb78c6p-1;0.889603
58824;975664047124;0x1.c65437c828211p-1;0.887361
58792;975167240318;0x1.c618fe70fc572p-1;0.886909
58740;975697786943;0x1.c6583d707f0a2p-1;0.887392
58672;974857115892;0x1.c5f40631e9613p-1;0.886627
58656;972279434965;0x1.c4c0bd9dab8ffp-1;0.884283
58642;974672691664;0x1.c5de0a03a1deep-1;0.88646
58578;971818618941;0x1.c489cea07a9c5p-1;0.883864
58452;970151085881;0x1.c3c3058e73266p-1;0.882347
58416;968605732159;0x1.c30acd1a7faeap-1;0.880942
58336;967984942840;0x1.c2c0cc1df00c8p-1;0.880377
58320;968694114346;0x1.c3155650552d5p-1;0.881022
58312;968080326088;0x1.c2cc2afb900b2p-1;0.880464
58308;968079698311;0x1.c2cc17d30e8b7p-1;0.880463
58258;967290508632;0x1.c26e03aab108cp-1;0.879746
58248;967320809894;0x1.c271a0634dc47p-1;0.879773
58240;966821000045;0x1.c2360b66da6c3p-1;0.879319
58206;964261609249;0x1.c104f0fe42be2p-1;0.876991
58184;963701231862;0x1.c0c223a1edb87p-1;0.876481
58144;964911888481;0x1.c15275f0c2639p-1;0.877582
58120;966050514465;0x1.c1da320c43db5p-1;0.878618
58060;963701231862;0x1.c0c223a1edb87p-1;0.876481
58056;962862321860;0x1.c05e2221891d4p-1;0.875718
57992;961907798663;0x1.bfec58650e96dp-1;0.87485
57968;962623357327;0x1.c041a5831fb2ep-1;0.875501
57892;960533645125;0x1.bf48888e8b1fap-1;0.8736
57872;960623039606;0x1.bf5330a8ecf58p-1;0.873682
57864;960315105306;0x1.bf2e7b403424ep-1;0.873402
57770;959897527650;0x1.befcb3cac4b41p-1;0.873022
57734;959269974106;0x1.beb1e460b5f9bp-1;0.872451
57672;957281536466;0x1.bdc4da13a527ap-1;0.870642
57608;955403427809;0x1.bce4f6bfc239p-1;0.868934
57520;955110268063;0x1.bcc204393eeb7p-1;0.868668
57476;952884920082;0x1.bbb8bbfe2587ap-1;0.866644
57432;952624888014;0x1.bb99bc719c898p-1;0.866407
57392;953654151712;0x1.bc146f1440645p-1;0.867343
57372;952884920082;0x1.bbb8bbfe2587ap-1;0.866644
57352;951535663910;0x1.bb17e3f64de04p-1;0.865417
57328;951624273938;0x1.bb22742025b38p-1;0.865497
57288;950334824897;0x1.ba88bd43824cap-1;0.864324
57246;951813522677;0x1.bb390389eb4aep-1;0.865669
57244;949662228786;0x1.ba388f42655f6p-1;0.863713
57224;950271106223;0x1.ba8124b95e781p-1;0.864267
57182;948499400419;0x1.b9adf08dc6c3bp-1;0.862655
57160;949095792604;0x1.b9f508ffb95d7p-1;0.863198
57142;948050105708;0x1.b978612ad8458p-1;0.862247
57059;946630161591;0x1.b8cf1be96e8bp-1;0.860955
56992;945232739676;0x1.b82885fab822dp-1;0.859684
56980;945506202679;0x1.b8491f686ea66p-1;0.859933
56968;945506202679;0x1.b8491f686ea66p-1;0.859933
56948;945506202679;0x1.b8491f686ea66p-1;0.859933
56928;944792719390;0x1.b7f411a03d569p-1;0.859284
56919;944374819261;0x1.b7c240537b0d3p-1;0.858904
56915;945506202679;0x1.b8491f686ea66p-1;0.859933
56911;943995294321;0x1.b7950224e374cp-1;0.858559
56880;944389873543;0x1.b7c40bbf0f619p-1;0.858918
56792;942129043319;0x1.b6b688aeef349p-1;0.856861
56778;941249697145;0x1.b64db52af3557p-1;0.856062
56771;940914502467;0x1.b625bfd687ea8p-1;0.855757
56763;942089360581;0x1.b6b1cda98ac01p-1;0.856825
56752;941579965201;0x1.b6751426232bcp-1;0.856362
56739;941691156356;0x1.b682556f0914ep-1;0.856463
56715;942714173045;0x1.b6fc496ceb779p-1;0.857394
56700;940682564723;0x1.b60a19a8e74cap-1;0.855546
56674;940377003896;0x1.b5e5acaef0e8fp-1;0.855268
56652;939846909521;0x1.b5a67b7ca3bf6p-1;0.854786
56645;941449831768;0x1.b66590cab0a6bp-1;0.856244
56611;940243588838;0x1.b5d5c52dcd35p-1;0.855147
56584;939056165231;0x1.b54837e2dec95p-1;0.854067
56560;939133529978;0x1.b55170def50c1p-1;0.854137
56520;939383518989;0x1.b56f3dee1a405p-1;0.854364
56456;937287902728;0x1.b4756ccc11a76p-1;0.852458
56428;936153674492;0x1.b3ee36e5f8c1p-1;0.851427
56308;934006469969;0x1.b2ee3f6aa3cfep-1;0.849474
56291;933349455639;0x1.b29fecee2eef5p-1;0.848876
56288;935418982339;0x1.b396a1df86698p-1;0.850759
56211;934029830558;0x1.b2f108533cf06p-1;0.849495
56200;934240076877;0x1.b30a18889af55p-1;0.849686
56150;930850252249;0x1.b175ff4bb359ep-1;0.846603
56112;931122471017;0x1.b19672c0d2d35p-1;0.846851
56072;930886906767;0x1.b17a5de71e312p-1;0.846637
56035;930120951183;0x1.b11f0ecb1f14fp-1;0.84594
55979;928076117102;0x1.b02b4b68dd2dcp-1;0.84408
55956;929328653360;0x1.b0c09bc861988p-1;0.845219
55952;928013434526;0x1.b023d27d3ccdcp-1;0.844023
55878;927076905083;0x1.afb42de0f7012p-1;0.843172
55864;927641907933;0x1.aff78865bb01p-1;0.843685
55824;926717802638;0x1.af895ef11dc63p-1;0.842845
55736;924024813004;0x1.ae48576b9981dp-1;0.840396
55716;925582541344;0x1.af02098440b7fp-1;0.841812
55700;923412478049;0x1.adff5870c27dp-1;0.839839
55648;923071620683;0x1.add6b64c966d9p-1;0.839529
55638;923174729949;0x1.ade300f1ba42p-1;0.839623
55588;922578602274;0x1.ad9bf092457ebp-1;0.83908
55509;918675922129;0x1.abcab439a28bbp-1;0.835531
55456;920747293777;0x1.acc1a178a2563p-1;0.837415
55432;920626865620;0x1.acb3464ba8977p-1;0.837305
55350;916259689813;0x1.aaaaaaaaaaaabp-1;0.833333
55216;917209862987;0x1.ab1befa697d1dp-1;0.834198
55193;916674701109;0x1.aadc23ce6be75p-1;0.833711
55156;915246072328;0x1.aa31d58410033p-1;0.832411
55153;914401805872;0x1.a9cd308c61e56p-1;0.831644
55108;915246072328;0x1.aa31d58410033p-1;0.832411
55068;914378985312;0x1.a9ca781ec18c6p-1;0.831623
55065;914719462768;0x1.a9f30eaae0a28p-1;0.831933
55062;914757768329;0x1.a9f79fa9124cp-1;0.831967
55057;914719462768;0x1.a9f30eaae0a28p-1;0.831933
55008;914152288683;0x1.a9af71e35694ep-1;0.831417
54865;909448386307;0x1.a77eb22e06cfdp-1;0.827138
54824;909217183378;0x1.a763226d25c75p-1;0.826928
54792;909217183378;0x1.a763226d25c75p-1;0.826928
