w;p;fpph;fppd
59788;1099511627776;0x1p+0;1
59736;1099511627776;0x1p+0;1
59682;1099511627776;0x1p+0;1
59644;1099511627776;0x1p+0;1
59636;1099511627776;0x1p+0;1
59632;1099511627776;0x1p+0;1
59582;1099511627776;0x1p+0;1
59476;1099511627776;0x1p+0;1
59464;1099511627776;0x1p+0;1
59394;1099511627776;0x1p+0;1
59368;1099511627776;0x1p+0;1
59366;1099511627776;0x1p+0;1
59360;1099511627776;0x1p+0;1
59344;1099511627776;0x1p+0;1
59342;1099511627776;0x1p+0;1
59260;1099511627776;0x1p+0;1
59256;1099511627776;0x1p+0;1
59224;1099511627776;0x1p+0;1
59122;1099511627776;0x1p+0;1
59120;1099511627776;0x1p+0;1
59112;1099511627776;0x1p+0;1
59104;1099511627776;0x1p+0;1
59028;1099511627776;0x1p+0;1
58984;1099511627776;0x1p+0;1
58976;1099511627776;0x1p+0;1
58960;1099511627776;0x1p+0;1
58954;1099511627776;0x1p+0;1
58898;1099511627776;0x1p+0;1
58824;1099511627776;0x1p+0;1
58792;1099511627776;0x1p+0;1
58740;1099511627776;0x1p+0;1
58672;1099511627776;0x1p+0;1
58656;1099511627776;0x1p+0;1
58642;1099511627776;0x1p+0;1
58578;1099511627776;0x1p+0;1
58452;1099511627776;0x1p+0;1
58416;1099511627776;0x1p+0;1
58336;1099511627776;0x1p+0;1
58320;1099511627776;0x1p+0;1
58312;1099511627776;0x1p+0;1
58308;1099511627776;0x1p+0;1
58258;1099511627776;0x1p+0;1
58248;1099511627776;0x1p+0;1
58240;1099511627776;0x1p+0;1
58206;1099511627776;0x1p+0;1
58184;1099511627776;0x1p+0;1
58144;1099511627776;0x1p+0;1
58120;1099511627776;0x1p+0;1
58060;1099511627776;0x1p+0;1
58056;1099511627776;0x1p+0;1
57992;1099511627776;0x1p+0;1
57968;1099511627776;0x1p+0;1
57892;1099511627776;0x1p+0;1
57872;1099511627776;0x1p+0;1
57864;1099511627776;0x1p+0;1
57770;1099511627776;0x1p+0;1
57734;1099511627776;0x1p+0;1
57672;1099511627776;0x1p+0;1
57608;1099511627776;0x1p+0;1
57520;1099511627776;0x1p+0;1
57476;1099511627776;0x1p+0;1
57432;1099511627776;0x1p+0;1
57392;1099511627776;0x1p+0;1
57372;1099511627776;0x1p+0;1
57352;1099511627776;0x1p+0;1
57328;1099511627776;0x1p+0;1
57288;1099511627776;0x1p+0;1
57246;1099511627776;0x1p+0;1
57244;1099511627776;0x1p+0;1
57224;1099511627776;0x1p+0;1
57182;1099511627776;0x1p+0;1
57160;1099511627776;0x1p+0;1
57142;1099511627776;0x1p+0;1
57059;1099511627776;0x1p+0;1
56992;1099511627776;0x1p+0;1
56980;1099511627776;0x1p+0;1
56968;1099511627776;0x1p+0;1
56948;1099511627776;0x1p+0;1
56928;1099511627776;0x1p+0;1
56919;1099511627776;0x1p+0;1
56915;1099511627776;0x1p+0;1
56911;1099511627776;0x1p+0;1
56880;1099511627776;0x1p+0;1
56792;1099511627776;0x1p+0;1
56778;1099511627776;0x1p+0;1
56771;1099511627776;0x1p+0;1
56763;1099511627776;0x1p+0;1
56752;1099511627776;0x1p+0;1
56739;1099511627776;0x1p+0;1
56715;1099511627776;0x1p+0;1
56700;1099511627776;0x1p+0;1
56674;1099511627776;0x1p+0;1
56652;1099511627776;0x1p+0;1
56645;1099511627776;0x1p+0;1
56611;1099511627776;0x1p+0;1
56584;1099511627776;0x1p+0;1
56560;1099511627776;0x1p+0;1
56520;1099511627776;0x1p+0;1
56456;1099511627776;0x1p+0;1
56428;1099511627776;0x1p+0;1
56308;1099511627776;0x1p+0;1
56291;1099511627776;0x1p+0;1
56288;1099511627776;0x1p+0;1
56211;1099511627776;0x1p+0;1
56200;1099511627776;0x1p+0;1
56150;1099511627776;0x1p+0;1
56112;1099511627776;0x1p+0;1
56072;1099511627776;0x1p+0;1
56035;1099511627776;0x1p+0;1
55979;1099511627776;0x1p+0;1
55956;1099511627776;0x1p+0;1
55952;1099511627776;0x1p+0;1
55878;1099511627776;0x1p+0;1
55864;1099511627776;0x1p+0;1
55824;1099511627776;0x1p+0;1
55736;1099511627776;0x1p+0;1
55716;1099511627776;0x1p+0;1
55700;1099511627776;0x1p+0;1
55648;1099511627776;0x1p+0;1
55638;1099511627776;0x1p+0;1
55588;1099511627776;0x1p+0;1
55509;1099511627776;0x1p+0;1
55456;1099511627776;0x1p+0;1
55432;1099511627776;0x1p+0;1
55350;1099511627776;0x1p+0;1
55216;1099511627776;0x1p+0;1
55193;1099511627776;0x1p+0;1
55156;1099511627776;0x1p+0;1
55153;1099511627776;0x1p+0;1
55108;1099511627776;0x1p+0;1
55068;1099511627776;0x1p+0;1
55065;1099511627776;0x1p+0;1
55062;1099511627776;0x1p+0;1
55057;1099511627776;0x1p+0;1
55008;1099511627776;0x1p+0;1
54865;1099511627776;0x1p+0;1
54824;1099511627776;0x1p+0;1
54792;1099511627776;0x1p+0;1
54768;1099511627776;0x1p+0;1
54728;1099511627776;0x1p+0;1
54714;1099511627776;0x1p+0;1
54704;1099511627776;0x1p+0;1
54600;1099511627776;0x1p+0;1
54580;1099511627776;0x1p+0;1
54576;1099511627776;0x1p+0;1
54560;1099511627776;0x1p+0;1
54551;1099511627776;0x1p+0;1
54532;1099511627776;0x1p+0;1
54320;1099511627776;0x1p+0;1
54112;1099511627776;0x1p+0;1
54043;1099511627776;0x1p+0;1
53987;1099511627776;0x1p+0;1
53982;1099511627776;0x1p+0;1
53979;1099511627776;0x1p+0;1
53968;1099511627776;0x1p+0;1
53960;1099511627776;0x1p+0;1
53939;1099511627776;0x1p+0;1
53932;1099511627776;0x1p+0;1
53920;1099511627776;0x1p+0;1
53891;1099511627776;0x1p+0;1
53884;1099511627776;0x1p+0;1
53720;1099511627776;0x1p+0;1
53565;1099511627776;0x1p+0;1
53526;1099511627776;0x1p+0;1
53518;1099511627776;0x1p+0;1
53510;1099511627776;0x1p+0;1
53472;1099511627776;0x1p+0;1
53344;1099511627776;0x1p+0;1
53336;1099511627776;0x1p+0;1
53264;1099511627776;0x1p+0;1
53156;1099511627776;0x1p+0;1
53108;1099511627776;0x1p+0;1
53072;1099511627776;0x1p+0;1
53056;1099511627776;0x1p+0;1
52920;1099511627776;0x1p+0;1
52888;1099511627776;0x1p+0;1
52861;1099511627776;0x1p+0;1
52829;1014933810254;0x1.d89d89d89d89ep-1;0.923077
52826;903585163759;0x1.a4c3bed3de836p-1;0.821806
52704;1079150301335;0x1.f684bda12f685p-1;0.981481
52675;1041642594735;0x1.e50d79435e50ep-1;0.947368
52632;984435560877;0x1.ca69dd235ba46p-1;0.895339
52624;977343669134;0x1.c71c71c71c71cp-1;0.888889
52440;924187442363;0x1.ae5bba7976b7fp-1;0.840544
52284;887840760850;0x1.9d6eddc8254bbp-1;0.807486
52172;1065151889408;0x1.fp-1;0.96875
52118;895987326709;0x1.a13a033dea54p-1;0.814896
52056;1072694271000;0x1.f3831f3831f38p-1;0.97561
51881;969320588053;0x1.c36004c62bf8cp-1;0.881592
51791;942438538093;0x1.b6db6db6db6dcp-1;0.857143
51769;1073941589920;0x1.f417d05f417dp-1;0.976744
51744;982091104150;0x1.c95261ff2d532p-1;0.893207
51664;879609302220;0x1.999999999999ap-1;0.8
51384;860319624540;0x1.909e175ab909ep-1;0.782456
51360;868533056946;0x1.9471356b6599bp-1;0.789926
51312;930958742416;0x1.b182ee27216cfp-1;0.846702
51298;913268311621;0x1.a946110c8abc7p-1;0.830613
51052;1032849819728;0x1.e0f54b10a1184p-1;0.939371
51036;928301084374;0x1.b0461cddac05ep-1;0.844285
50936;840481238671;0x1.87612bdd1f629p-1;0.764413
50812;865349795954;0x1.92f5bc00e5924p-1;0.787031
50786;898058538627;0x1.a230eb9d0741fp-1;0.816779
50731;926899591806;0x1.af9f0ab4fcdf6p-1;0.84301
50705;840481238671;0x1.87612bdd1f629p-1;0.764413
50548;933095743877;0x1.b281ae430a168p-1;0.848646
50512;882186873045;0x1.9accded1ab3f5p-1;0.802344
50336;886184743813;0x1.9ca974270bf13p-1;0.80598
50064;870852852012;0x1.9585bff2597fdp-1;0.792036
50040;889178045809;0x1.9e0e487ae2086p-1;0.808703
49784;954048689191;0x1.bc4377684fc25p-1;0.867702
49778;881165920202;0x1.9a5329cf95604p-1;0.801416
49592;881940317176;0x1.9aaf7a87f175p-1;0.80212
49459;818409271671;0x1.7d19fce2effcfp-1;0.744339
49427;884767729909;0x1.9c008851eb76dp-1;0.804692
49304;825767591200;0x1.80872afa41bcep-1;0.751031
49244;909166310304;0x1.a75d11e741ddp-1;0.826882
49056;827526020549;0x1.8158c9fb8bab4p-1;0.752631
49008;816103596890;0x1.7c072146b556cp-1;0.742242
48972;834865687023;0x1.84c3bed3de836p-1;0.759306
48644;868533056946;0x1.9471356b6599bp-1;0.789926
48608;838712522297;0x1.868e52ec73bd1p-1;0.762805
48566;847418739833;0x1.8a9c2f98f29fcp-1;0.770723
48560;848171730506;0x1.8af5f30c9502p-1;0.771408
48520;903865554447;0x1.a4e52bac1f584p-1;0.822061
48405;800022789602;0x1.748a25fbc4529p-1;0.727616
48160;828994622545;0x1.8207dc28a272fp-1;0.753966
47799;823855613303;0x1.7fa33e0aee4a4p-1;0.749292
47340;841474766828;0x1.87d79befd9909p-1;0.765317
47144;841217664296;0x1.87b8f5ca5045ap-1;0.765083
47110;841827742770;0x1.8801afe865b91p-1;0.765638
47080;836676025409;0x1.859b8df88246bp-1;0.760952
46888;834865687023;0x1.84c3bed3de836p-1;0.759306
46768;855165658655;0x1.8e37b0cc3f316p-1;0.777769
46764;775230209933;0x1.68fea47f1a49ep-1;0.705068
46760;834856470744;0x1.84c2a591b1e2ap-1;0.759298
46696;816357450884;0x1.7c2564490912ep-1;0.742473
46640;833125769376;0x1.83f454c140cc1p-1;0.757723
46576;778727120749;0x1.6a9f81bedba22p-1;0.708248
46432;823321799258;0x1.7f639b54b4876p-1;0.748807
46312;790007199706;0x1.6fe0326fb4bb2p-1;0.718507
46287;820377221809;0x1.7e0495f5638eap-1;0.746129
46227;809802425656;0x1.7917f8ca7196cp-1;0.736511
46139;811351156287;0x1.79d0984c7f4dfp-1;0.73792
46128;813203088109;0x1.7aad5cc5da6ccp-1;0.739604
46124;793987090453;0x1.71baa3102a063p-1;0.722127
45987;808275514658;0x1.7861f32a4581cp-1;0.735122
45792;820856337855;0x1.7e3db36b7fadfp-1;0.746564
45699;796202800435;0x1.72c2c52a6640ep-1;0.724142
45536;803466218610;0x1.7624a318e5d7cp-1;0.730748
45366;823321799258;0x1.7f639b54b4876p-1;0.748807
45318;832934843777;0x1.83dd922b0299ap-1;0.75755
44896;758997961560;0x1.616f9b96b1d2p-1;0.690305
44820;770751019047;0x1.66e8ae704f06ap-1;0.700994
44752;800223661240;0x1.74a2181971987p-1;0.727799
44704;798978931096;0x1.740db5f3304a9p-1;0.726667
44488;768351644794;0x1.65caa758f4a62p-1;0.698812
44448;764480135890;0x1.63fd2245a59aap-1;0.695291
44424;755247085817;0x1.5fb077f1f371ep-1;0.686893
44413;785206264253;0x1.6da3e1837b9c2p-1;0.714141
44304;734433381391;0x1.55ff48181f6fcp-1;0.667963
44125;835338394288;0x1.84fc18b5613bdp-1;0.759736
44040;772172414866;0x1.67921fff25002p-1;0.702287
43796;778727120749;0x1.6a9f81bedba22p-1;0.708248
43616;765688722612;0x1.648d3569699d1p-1;0.69639
42858;710953544492;0x1.4b10445658df7p-1;0.646608
42564;726870489602;0x1.5279b6f404662p-1;0.661085
42346;674902930776;0x1.3a46b2eab0ae4p-1;0.613821
42183;711535943392;0x1.4b55b1bdc1cf4p-1;0.647138
42143;816497944068;0x1.7c3623cc08182p-1;0.742601
42002;734858941036;0x1.56320324d958ep-1;0.66835
41768;721122505768;0x1.4fcc806850b3fp-1;0.655857
41730;631075428815;0x1.25de0db39f2f5p-1;0.57396
41704;694598008288;0x1.437288fbc1ef7p-1;0.631733
41680;725463228729;0x1.51d1f4c273e63p-1;0.659805
41616;715596806672;0x1.4d39c97420b2ep-1;0.650832
41426;724230781042;0x1.513f0970e4f1cp-1;0.658684
41397;748224450128;0x1.5c6b4e1ca0597p-1;0.680506
41320;709092323311;0x1.4a32645fdf4c5p-1;0.644916
41168;645264010609;0x1.2c7976dae3797p-1;0.586864
41120;702234905498;0x1.4700ec9735ad1p-1;0.638679
41092;757242219605;0x1.609e4e98aa97cp-1;0.688708
41058;707095994222;0x1.4944693edcd92p-1;0.6431
40905;656232087972;0x1.3194f6034811cp-1;0.59684
40825;658787557626;0x1.32c598c1f5498p-1;0.599164
40618;645463207668;0x1.2c9135dde9342p-1;0.587045
40480;658787557626;0x1.32c598c1f5498p-1;0.599164
40090;702234905498;0x1.4700ec9735ad1p-1;0.638679
39458;670359157534;0x1.382909f63c026p-1;0.609688
39324;711434572745;0x1.4b499c27934ap-1;0.647046
38698;684135987168;0x1.3e935d6fc15c8p-1;0.622218
38560;686056831205;0x1.3f7858f1ca2bep-1;0.623965
38504;632516049707;0x1.2689c9f657f92p-1;0.57527
38440;623056589073;0x1.2222222222223p-1;0.566667
38056;637826562192;0x1.2902d9f120c5p-1;0.5801
37904;637826562192;0x1.2902d9f120c5p-1;0.5801
37794;637826562192;0x1.2902d9f120c5p-1;0.5801
37786;637826562192;0x1.2902d9f120c5p-1;0.5801
37778;637826562192;0x1.2902d9f120c5p-1;0.5801
37776;610225776201;0x1.1c2894cc92902p-1;0.554997
37730;637826562192;0x1.2902d9f120c5p-1;0.5801
37712;637826562192;0x1.2902d9f120c5p-1;0.5801
37573;554952503300;0x1.026b7e6009304p-1;0.504726
37493;638316252945;0x1.293d3a1e224d7p-1;0.580545
37452;581400070101;0x1.0ebc4a0faa4dp-1;0.52878
37440;594110403051;0x1.14a77aa3d72b6p-1;0.54034
37416;632516049707;0x1.2689c9f657f92p-1;0.57527
37264;563301852558;0x1.064ed04b1c6c4p-1;0.51232
37204;594110403051;0x1.14a77aa3d72b6p-1;0.54034
37195;628226630796;0x1.248a734918555p-1;0.571369
37088;594110403051;0x1.14a77aa3d72b6p-1;0.54034
37032;608892045671;0x1.1b899692cfed7p-1;0.553784
34464;551005329993;0x1.0094f43492565p-1;0.501136
33573;563427585876;0x1.065dcd5ea860ap-1;0.512434
33352;549755813888;0x1p-1;0.5
33288;539730887756;0x1.f6a9df1131fc1p-2;0.490882
33268;553402659744;0x1.01b2bce7415eap-1;0.503317
33264;522858586563;0x1.e6f333870c029p-2;0.475537
33256;540969230143;0x1.f7d11d7cfe15bp-2;0.492009
33252;551415608693;0x1.00c5dceaeb04ep-1;0.50151
33248;521336884925;0x1.e588663af5422p-2;0.474153
33242;538640188074;0x1.f5a5d40aabfecp-2;0.48989
33236;559161905143;0x1.04614b1fef0ecp-1;0.508555
33234;557874595341;0x1.03c7d58c1a832p-1;0.507384
33232;540728196686;0x1.f797a5f93b2b8p-2;0.491789
33226;560134836668;0x1.04d546a37970dp-1;0.50944
33224;548858886502;0x1.ff2a27e599651p-2;0.499184
33221;543298272212;0x1.f9fc66ef502c8p-2;0.494127
33220;543298272212;0x1.f9fc66ef502c8p-2;0.494127
33218;512954043346;0x1.ddb9c62f49daap-2;0.466529
33217;557741238267;0x1.03b7efcff7dp-1;0.507263
32832;549755813888;0x1p-1;0.5
31303;549755813888;0x1p-1;0.5
29120;549755813888;0x1p-1;0.5
29096;511975886637;0x1.dcd0903cb7c13p-2;0.465639
28680;518784008172;0x1.e327beffb09f3p-2;0.471831
28352;461685065583;0x1.adfa4c1dbe76p-2;0.4199
27788;522538003229;0x1.e6a6c4ac76665p-2;0.475246
27696;461685065583;0x1.adfa4c1dbe76p-2;0.4199
27684;413454796570;0x1.810f4e1c6ba84p-2;0.376035
27682;539376791107;0x1.f65572b90d1e6p-2;0.49056
27681;415375640607;0x1.82d945207d47p-2;0.377782
27680;461685065583;0x1.adfa4c1dbe76p-2;0.4199
27676;461685065583;0x1.adfa4c1dbe76p-2;0.4199
27674;489285851574;0x1.c7aed666dadfdp-2;0.445003
27668;544559124475;0x1.fb29033fed9f7p-2;0.495274
27666;536209775217;0x1.f3625f69c7277p-2;0.48768
27664;536209775217;0x1.f3625f69c7278p-2;0.48768
27662;541770389508;0x1.f8902060106p-2;0.492737
27652;549755813888;0x1p-1;0.5
27624;501385866492;0x1.d2f3b4b3f35fep-2;0.456008
27576;461685065583;0x1.adfa4c1dbe76p-2;0.4199
27383;466995578068;0x1.b2ec6c13500dcp-2;0.42473
26656;505401224724;0x1.d6b10ab851a95p-2;0.45966
26552;452552612012;0x1.a578f362b09a4p-2;0.411594
25770;461685065583;0x1.adfa4c1dbe76p-2;0.4199
25544;470306704293;0x1.b601db2e95234p-2;0.427741
24746;440724070149;0x1.9a74ce7c156d1p-2;0.400836
24640;468436198960;0x1.b443e498c1a16p-2;0.42604
24480;454247617166;0x1.a70d124a390d2p-2;0.413136
24365;462901026081;0x1.af1c347487594p-2;0.421006
24364;423989862123;0x1.8adf0f7baebcfp-2;0.385617
24336;440724070149;0x1.9a74ce7c156d1p-2;0.400836
24117;429152470241;0x1.8fadec1387fb4p-2;0.390312
24051;452408791086;0x1.a556a940b97adp-2;0.411463
24031;424608696999;0x1.8b729a2a9ea39p-2;0.386179
23952;414583770868;0x1.821c793bd09f9p-2;0.377062
23922;424608696999;0x1.8b729a2a9ea39p-2;0.386179
23888;429453638517;0x1.8ff5b9edd648p-2;0.390586
23874;433687093667;0x1.93e70f868c686p-2;0.394436
23792;440724070149;0x1.9a74ce7c156d1p-2;0.400836
23656;397276722277;0x1.71fe26d194a5ep-2;0.361321
23336;407242661555;0x1.7b46377ace38p-2;0.370385
23297;408529971357;0x1.7c7922a2774fp-2;0.371556
23288;392415633553;0x1.6d772d82464ddp-2;0.3569
23264;372641138173;0x1.5b0c9217f733cp-2;0.338915
23114;424393604289;0x1.8b3f51f3053fep-2;0.385984
22596;404913619487;0x1.791aee087c212p-2;0.368267
22482;388077055030;0x1.696cc7b0d96bfp-2;0.352954
21970;366503875925;0x1.5555555555555p-2;0.333333
21954;366503875925;0x1.5555555555555p-2;0.333333
21664;366503875925;0x1.5555555555555p-2;0.333333
